Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming
-9.98E+32,1.21E+17,-3.17E+31,9.31E+16,-1.41E+32,-7.35E+31,-5.07E+30,-1.27E+30,2.10E+17,1.36E+17,1.17E+16,-3.04E+31,1.72E+17,1.89E+17,1.15E+17,-6.85E+31,7.55E+16,-3.42E+31,-1.27E+31,-1.90E+31,-2.16E+31,3.46E+17,-5.20E+31,-2.92E+31,-6.34E+30,-8.87E+31,-5.07E+31,-9.13E+31,-9.25E+31,-1.01E+31,-1.39E+31,-1.77E+31,-3.80E+31,-7.73E+31,-6.34E+30,-9.25E+31,-9.00E+31,-6.34E+31,-2.54E+30,8.82E+16,-1.05E+32,1.07E+17,-3.56E+32,2.05E+17,-5.20E+31,-1.01E+31,-4.69E+31,2.02E+17,-1.39E+31,-5.70E+31
-9.03E+32,-9.38E+31,-1.27E+30,-6.85E+31,3.56E+17,-7.99E+31,2.56E+16,0,-1.01E+32,-8.24E+31,-3.17E+31,-2.28E+31,-1.39E+32,-9.38E+31,-5.45E+31,1.05E+17,-4.44E+31,2.10E+17,4.88E+16,-1.27E+30,-2.41E+31,-1.22E+32,-6.21E+31,-1.77E+31,-1.39E+31,-1.67E+32,-3.68E+31,-2.54E+30,-5.07E+30,4.01E+16,4.29E+16,-1.29E+32,-2.92E+31,-3.80E+30,-4.82E+31,-1.27E+30,-1.77E+31,-1.14E+31,0,-3.04E+31,-5.07E+30,-6.47E+31,-4.82E+31,-1.36E+32,-2.79E+31,3.53E+16,-7.61E+30,-1.03E+32,-2.16E+31,-9.76E+31
-9.52E+32,-1.01E+31,-5.83E+31,-1.39E+31,-2.16E+32,-2.54E+30,-1.27E+31,-1.27E+30,1.62E+17,1.91E+17,2.84E+16,-5.58E+31,-3.80E+31,-2.54E+31,3.23E+17,-6.59E+31,1.54E+17,-6.34E+31,-1.77E+31,-1.27E+31,-3.17E+31,-1.27E+30,-8.87E+31,-6.21E+31,-3.17E+31,-2.54E+31,-5.07E+30,-1.10E+32,-9.13E+31,-1.27E+31,-1.52E+31,2.31E+17,-7.86E+31,-8.24E+31,4.59E+17,-1.08E+32,-1.25E+32,-3.42E+31,-2.54E+30,1.46E+17,-1.17E+32,-7.61E+30,-2.29E+32,-8.87E+30,-1.14E+31,-1.27E+31,-6.34E+31,-2.28E+31,1.29E+17,2.61E+17
-9.65E+32,-2.03E+31,1.51E+17,-1.90E+31,3.65E+17,-1.29E+32,6.62E+16,1.35E+16,-1.14E+32,-9.63E+31,-1.77E+31,3.20E+17,-6.85E+31,-2.66E+31,-5.83E+31,-1.77E+31,-3.42E+31,1.61E+17,1.09E+17,-1.65E+31,2.98E+17,-1.58E+32,-8.87E+30,2.91E+17,1.49E+17,-2.04E+32,-5.58E+31,-2.16E+31,-2.92E+31,5.08E+16,-2.54E+30,-1.77E+32,1.65E+17,-1.65E+31,-6.85E+31,-1.39E+31,2.41E+17,-3.04E+31,0,-4.69E+31,-2.66E+31,-4.18E+31,-1.50E+32,-1.06E+32,-4.31E+31,8.42E+16,1.91E+17,-5.58E+31,-2.92E+31,-1.32E+32
-8.44E+32,-3.68E+31,-8.24E+31,-3.42E+31,-2.46E+32,2.71E+17,-7.61E+30,3.56051E+15,-1.01E+31,-6.34E+30,-7.61E+30,-7.35E+31,-7.61E+31,-5.58E+31,-1.77E+31,-2.54E+31,-1.01E+31,-8.37E+31,-2.54E+31,5.63E+16,-4.56E+31,-2.16E+31,-1.17E+32,-9.51E+31,-5.07E+31,-3.55E+31,2.07E+17,-8.62E+31,-5.45E+31,-1.39E+31,-6.34E+30,2.22E+17,-1.13E+32,-5.32E+31,1.09E+18,-6.34E+31,-1.58E+32,4.18E+17,-1.27E+30,8.36E+16,-7.23E+31,-2.92E+31,-8.11E+31,-4.94E+31,1.93E+17,-1.65E+31,-7.48E+31,-5.32E+31,7.07E+16,-2.54E+30
-1.00E+33,1.67E+17,1.85E+17,7.17E+16,-4.06E+31,-1.60E+32,-3.80E+30,0,-4.31E+31,-3.17E+31,4.41E+16,1.87E+17,-3.80E+30,3.09E+17,-1.01E+31,-3.93E+31,-1.14E+31,1.66E+17,-1.27E+30,-1.90E+31,2.69E+17,-1.28E+32,2.52E+17,2.54E+17,8.24E+16,-1.76E+32,-7.86E+31,-4.94E+31,-6.08E+31,6.14E+16,-8.87E+30,-1.70E+32,1.75E+17,-4.69E+31,-7.23E+31,-5.07E+31,-2.16E+31,-4.69E+31,0,-5.45E+31,-5.83E+31,-8.87E+30,-2.75E+32,-1.27E+31,-6.34E+31,-3.80E+30,-1.39E+31,2.35E+17,-3.42E+31,-1.55E+32
-8.39E+32,-6.08E+31,-8.49E+31,-5.45E+31,-1.28E+32,-1.77E+31,2.84E+16,0,-4.94E+31,-4.31E+31,-2.28E+31,-8.87E+31,-1.05E+32,-7.86E+31,-3.30E+31,8.28E+16,-2.03E+31,-7.23E+31,-1.14E+31,1.28E+17,-6.08E+31,-6.85E+31,-1.38E+32,-1.15E+32,-6.59E+31,-8.11E+31,-6.34E+30,-3.68E+31,-5.07E+30,-1.65E+31,1.57E+17,-3.68E+31,-1.43E+32,5.18E+17,-1.65E+31,-2.54E+30,-1.17E+32,3.51E+17,-3.80E+30,-3.80E+30,-2.28E+31,-4.31E+31,-1.27E+30,-8.62E+31,-2.54E+30,-8.87E+30,-7.86E+31,-7.10E+31,-1.27E+30,-3.30E+31
-1.58E+33,1.20E+17,-1.77E+31,1.15E+17,-1.00E+32,-1.12E+32,-7.61E+30,-1.27E+30,1.85E+17,1.32E+17,3.81E+16,-1.77E+31,2.14E+17,1.79E+17,1.24E+17,-6.21E+31,9.53E+16,-1.77E+31,-8.87E+30,-1.77E+31,-8.87E+30,-2.79E+31,-3.17E+31,-1.39E+31,1.34E+17,-1.23E+32,-6.72E+31,-7.48E+31,-8.49E+31,-8.87E+30,-1.01E+31,-6.21E+31,-1.27E+31,-6.47E+31,-2.79E+31,-7.73E+31,-6.34E+31,-6.59E+31,-1.27E+30,-1.52E+31,-9.00E+31,1.08E+17,-3.56E+32,2.22E+17,-5.83E+31,-7.61E+30,-3.55E+31,2.04E+17,-3.55E+31,-9.13E+31
-8.73E+32,-8.75E+31,-1.52E+31,-6.85E+31,-2.28E+31,-5.32E+31,1.96E+16,4.31684E+15,-8.11E+31,-6.97E+31,-2.92E+31,-4.94E+31,-1.32E+32,-9.89E+31,-4.94E+31,1.03E+17,-3.55E+31,-8.87E+30,4.82E+16,4.69E+16,-4.56E+31,-1.03E+32,-1.08E+32,-5.83E+31,-5.20E+31,-1.31E+32,-2.16E+31,2.01E+17,1.61E+17,4.16E+16,3.60E+16,-1.00E+32,-9.38E+31,1.42E+17,-3.55E+31,1.83E+17,-5.20E+31,-3.80E+30,6.82706E+15,-2.41E+31,2.31E+17,-5.96E+31,-2.28E+31,-1.22E+32,-1.27E+31,3.22E+16,-2.79E+31,-9.38E+31,-1.52E+31,-8.24E+31
-9.70E+32,1.02E+17,-4.56E+31,-3.80E+30,-1.81E+32,-3.30E+31,-1.01E+31,-1.27E+30,1.56E+17,1.31E+17,2.33E+16,-4.31E+31,-1.77E+31,-5.07E+30,2.51E+17,-7.10E+31,1.55E+17,-4.82E+31,-1.27E+31,-1.77E+31,-2.92E+31,3.76E+17,-6.97E+31,-4.69E+31,-2.16E+31,-5.20E+31,-2.54E+31,-1.01E+32,-1.05E+32,-1.27E+31,-1.39E+31,2.54E+17,-6.34E+31,-8.24E+31,4.46E+17,-1.03E+32,-1.08E+32,-5.32E+31,-2.54E+30,1.04E+17,-1.17E+32,-1.27E+30,-3.19E+32,1.87E+17,-3.68E+31,-1.39E+31,-5.45E+31,-1.01E+31,1.55E+17,-2.03E+31
-9.41E+32,-6.47E+31,1.53E+17,-4.06E+31,3.84E+17,-1.00E+32,7.59E+16,2.51E+16,-1.14E+32,-9.51E+31,-2.92E+31,-2.54E+30,-1.20E+32,-6.85E+31,-5.96E+31,-7.61E+30,-4.44E+31,1.52E+17,8.82E+16,-3.80E+30,1.46E+17,-1.38E+32,-1.90E+31,1.68E+17,1.07E+17,-1.80E+32,-5.45E+31,-1.01E+31,-1.52E+31,6.09E+16,6.29E+16,-1.57E+32,2.05E+17,-8.87E+30,-5.58E+31,-3.80E+30,2.34E+17,-2.41E+31,7.1191E+15,-3.68E+31,-1.52E+31,-4.94E+31,-9.38E+31,-1.41E+32,-3.93E+31,4.92E+16,2.04E+17,-9.89E+31,-2.41E+31,-1.17E+32
-9.01E+32,-2.28E+31,-6.97E+31,-2.41E+31,-2.36E+32,2.68E+17,-1.14E+31,0,-6.34E+30,1.09E+17,-3.80E+30,-6.72E+31,-5.45E+31,-4.31E+31,-5.07E+30,-4.31E+31,-3.80E+30,-7.99E+31,-2.03E+31,5.40E+16,-4.18E+31,-7.61E+30,-1.03E+32,-7.23E+31,-3.42E+31,-1.77E+31,2.31E+17,-1.08E+32,-7.10E+31,-1.39E+31,-1.39E+31,2.27E+17,-9.51E+31,-6.97E+31,3.71E+17,-9.89E+31,-1.38E+32,-1.52E+31,-2.54E+30,8.85E+16,-9.76E+31,-1.65E+31,-1.38E+32,-2.66E+31,1.28E+17,-1.65E+31,-7.61E+31,-3.93E+31,4.69E+16,2.20E+17
-9.55E+32,1.51E+17,1.50E+17,-6.34E+30,-1.27E+31,-1.46E+32,2.72E+16,9.21827E+15,-1.04E+32,-7.48E+31,-2.54E+30,2.21E+17,-2.28E+31,-3.80E+30,-3.68E+31,-2.79E+31,-3.04E+31,9.86E+16,4.61E+16,-6.34E+30,1.46E+17,-1.56E+32,3.61E+17,2.06E+17,7.12E+16,-2.02E+32,-7.35E+31,-3.42E+31,-4.31E+31,2.72E+16,-6.34E+30,-1.95E+32,1.73E+17,-3.17E+31,-7.48E+31,-2.92E+31,-1.14E+31,-4.44E+31,5.11969E+15,-5.07E+31,-4.18E+31,-2.41E+31,-2.12E+32,-5.70E+31,-5.07E+31,3.87E+16,-3.80E+30,-1.90E+31,-3.55E+31,-1.48E+32
-8.35E+32,-4.94E+31,-9.13E+31,-4.82E+31,-2.02E+32,-3.80E+30,-7.61E+30,0,-2.16E+31,-2.41E+31,-1.27E+31,-8.62E+31,-8.75E+31,-6.59E+31,-2.79E+31,-1.14E+31,-1.77E+31,-8.87E+31,-2.41E+31,5.81E+16,-5.32E+31,-4.06E+31,-1.31E+32,-1.04E+32,-5.58E+31,-5.07E+31,-1.27E+30,-6.21E+31,-2.79E+31,-1.39E+31,-1.62671E+15,-1.52E+31,-1.24E+32,-1.77E+31,-5.07E+30,-3.17E+31,-1.55E+32,6.95E+17,-1.27E+30,9.88E+16,-4.69E+31,-3.80E+31,-2.92E+31,-6.85E+31,2.32E+17,-1.65E+31,-7.61E+31,-6.08E+31,1.81E+17,-1.77E+31
-1.01E+33,8.47E+16,-2.54E+30,7.90E+16,-6.85E+31,-1.43E+32,-2.54E+30,0,2.15E+17,-1.27E+30,3.22E+16,-6.34E+30,2.19E+17,1.67E+17,1.13E+17,-5.32E+31,-2.54E+30,-3.80E+30,-7.61E+30,-1.65E+31,1.03E+17,-7.73E+31,-1.01E+31,1.68E+17,8.84E+16,-1.50E+32,-8.11E+31,-6.34E+31,-7.48E+31,-6.34E+30,-7.61E+30,-1.17E+32,-2.54E+30,-6.08E+31,-5.32E+31,-6.08E+31,-4.18E+31,-5.83E+31,-1.27E+30,-4.06E+31,-7.61E+31,9.39E+16,-3.40E+32,2.07E+17,-6.85E+31,-7.61E+30,-2.66E+31,2.22E+17,-3.93E+31,-1.25E+32
-8.56E+32,-7.23E+31,-4.69E+31,-6.34E+31,-7.10E+31,-3.30E+31,2.58E+16,5.87659E+15,-6.59E+31,-5.58E+31,-1.77E+31,-7.23E+31,-1.20E+32,-9.38E+31,-4.06E+31,1.17E+17,-2.41E+31,-3.80E+31,-2.54E+30,4.20E+16,-5.96E+31,-8.87E+31,-1.45E+32,-9.76E+31,-6.85E+31,-1.04E+32,-1.14E+31,-1.01E+31,1.82E+17,-6.34E+30,3.10E+16,-6.47E+31,-1.34E+32,2.03E+17,-2.79E+31,2.08E+17,-7.99E+31,1.17E+17,4.73306E+15,-1.65E+31,-1.27E+30,-5.20E+31,-7.61E+30,-1.04E+32,-5.07E+30,2.98E+16,-5.58E+31,-8.24E+31,-8.87E+30,-5.70E+31
-1.00E+33,1.09E+17,-3.17E+31,8.67E+16,-1.42E+32,-7.48E+31,-5.07E+30,0,1.72E+17,1.54E+17,2.68E+16,-3.04E+31,1.97E+17,2.33E+17,2.02E+17,-6.72E+31,1.07E+17,-3.30E+31,-1.01E+31,-1.77E+31,-2.03E+31,5.48E+17,-5.20E+31,-3.04E+31,-6.34E+30,-8.87E+31,-4.69E+31,-8.87E+31,-9.25E+31,-8.87E+30,-1.14E+31,-1.52E+31,-3.68E+31,-7.73E+31,-7.61E+30,-9.25E+31,-8.87E+31,-7.35E+31,-2.54E+30,1.17E+17,-1.06E+32,1.86E+17,-3.61E+32,2.02E+17,-5.20E+31,-8.87E+30,-4.82E+31,4.05E+17,-1.52E+31,-5.58E+31
-8.89E+32,-8.75E+31,1.16E+17,-6.72E+31,4.45E+17,-7.73E+31,3.53E+16,0,-1.03E+32,-8.37E+31,-3.30E+31,-2.41E+31,-1.32E+32,-1.00E+32,-5.45E+31,1.13E+17,-4.06E+31,1.66E+17,5.48E+16,7.19E+16,-2.41E+31,-1.29E+32,-6.08E+31,-1.77E+31,-1.65E+31,-1.55E+32,-3.55E+31,-1.27E+30,-5.07E+30,6.94E+16,4.35E+16,-1.29E+32,-3.04E+31,-5.07E+30,-4.56E+31,-1.27E+30,-1.52E+31,-1.39E+31,1.40E+16,-3.17E+31,-5.07E+30,-6.59E+31,-5.32E+31,-1.33E+32,-2.28E+31,4.81E+16,-1.14E+31,-9.63E+31,-2.03E+31,-1.06E+32
-9.49E+32,-8.87E+30,-5.32E+31,-1.65E+31,-2.12E+32,-3.80E+30,-8.87E+30,-1.27E+30,-2.54E+30,1.61E+17,2.63E+16,-5.45E+31,-3.80E+31,-2.54E+31,1.55E+17,-6.21E+31,-1.27E+30,-6.08E+31,-1.39E+31,-1.39E+31,-3.55E+31,-1.27E+30,-8.62E+31,-7.35E+31,-2.66E+31,-2.54E+31,-5.07E+30,-1.10E+32,-1.00E+32,-1.39E+31,-1.52E+31,2.45E+17,-7.99E+31,-8.24E+31,2.90E+17,-1.05E+32,-1.25E+32,-3.17E+31,-2.54E+30,1.10E+17,-1.20E+32,-6.34E+30,-2.27E+32,-7.61E+30,-1.01E+31,-1.52E+31,-6.85E+31,-2.16E+31,1.28E+17,2.14E+17
-9.53E+32,-2.41E+31,1.15E+17,-1.65E+31,4.26E+17,-1.28E+32,2.52E+16,0,-1.13E+32,-1.00E+32,-1.27E+31,2.10E+17,-6.97E+31,-2.41E+31,-5.96E+31,-1.77E+31,-3.30E+31,9.87E+16,8.14E+16,-7.61E+30,1.18E+17,-1.51E+32,-7.61E+30,2.74E+17,1.17E+17,-1.99E+32,-6.59E+31,-2.16E+31,-2.66E+31,6.01E+16,-1.27E+30,-1.75E+32,2.02E+17,-2.28E+31,-6.34E+31,-6.34E+30,2.28E+17,-3.80E+31,5.71855E+15,-4.44E+31,-2.66E+31,-3.93E+31,-1.60E+32,-1.08E+32,-4.31E+31,4.83E+16,1.75E+17,-5.96E+31,-3.04E+31,-1.38E+32
-8.62E+32,-4.44E+31,-7.10E+31,-3.80E+31,-2.43E+32,2.30E+17,-7.61E+30,4.0758E+15,-8.87E+30,-7.61E+30,-1.27E+30,-7.86E+31,-6.85E+31,-4.82E+31,-1.65E+31,-2.66E+31,-1.14E+31,-8.87E+31,-2.28E+31,6.26E+16,-4.82E+31,-2.28E+31,-1.18E+32,-9.76E+31,-4.31E+31,-3.04E+31,1.74E+17,-8.49E+31,-4.44E+31,-1.52E+31,-6.34E+30,2.25E+17,-1.18E+32,-5.45E+31,1.54E+17,-6.72E+31,-1.47E+32,1.42E+17,-2.54E+30,9.94E+16,-7.73E+31,-2.28E+31,-7.73E+31,-4.82E+31,1.30E+17,-1.65E+31,-8.87E+31,-5.58E+31,1.06E+17,-2.54E+30
-1.02E+33,1.57E+17,1.24E+17,1.06E+17,-3.68E+31,-1.62E+32,-2.54E+30,0,-4.31E+31,-3.04E+31,5.17E+16,1.94E+17,-3.80E+30,4.22E+17,-7.61E+30,-3.17E+31,-2.03E+31,1.16E+17,-2.54E+30,-8.87E+30,1.47E+17,-1.31E+32,2.73E+17,2.38E+17,9.25E+16,-1.79E+32,-7.99E+31,-4.82E+31,-5.58E+31,-1.27E+30,-7.61E+30,-1.66E+32,1.86E+17,-5.32E+31,-7.48E+31,-3.55E+31,-2.41E+31,-5.45E+31,1.10E+16,-5.45E+31,-6.59E+31,-8.87E+30,-2.80E+32,-1.39E+31,-6.21E+31,-2.54E+30,-1.39E+31,2.47E+17,-3.68E+31,-1.52E+32
-8.44E+32,-7.10E+31,-8.62E+31,-5.96E+31,-1.36E+32,-1.65E+31,-1.27E+30,0,-5.70E+31,-4.18E+31,-6.34E+30,-9.25E+31,-9.89E+31,-7.23E+31,-3.17E+31,-5.07E+30,-2.66E+31,-7.99E+31,-1.77E+31,6.24E+16,-5.58E+31,-7.10E+31,-1.38E+32,-1.12E+32,-6.34E+31,-7.10E+31,-3.80E+30,-3.80E+31,-7.61E+30,-1.39E+31,6.87E+16,-3.93E+31,-1.43E+32,1.91E+17,-1.52E+31,-2.54E+30,-1.20E+32,1.42E+17,-1.27E+30,-5.07E+30,-1.77E+31,-4.18E+31,-1.27E+30,-8.37E+31,-1.27E+30,-8.87E+30,-7.23E+31,-7.73E+31,9.92E+16,-3.42E+31
-1.03E+33,1.06E+17,-2.03E+31,1.01E+17,-1.03E+32,-1.08E+32,-3.80E+30,0,2.08E+17,1.51E+17,2.96E+16,-1.65E+31,1.75E+17,3.13E+17,3.64E+17,-4.94E+31,2.07E+17,-1.52E+31,-8.87E+30,-1.65E+31,-8.87E+30,-2.79E+31,-3.04E+31,-1.65E+31,8.73E+16,-1.19E+32,-7.10E+31,-8.37E+31,-8.11E+31,-7.61E+30,-1.01E+31,-6.59E+31,-1.52E+31,-7.23E+31,-2.79E+31,-6.85E+31,-6.21E+31,-6.47E+31,-1.27E+30,-1.52E+31,-9.13E+31,1.81E+17,-3.59E+32,2.28E+17,-6.59E+31,-7.61E+30,-3.68E+31,3.36E+17,-3.04E+31,-9.25E+31
-9.03E+32,-8.37E+31,-1.77E+31,-7.23E+31,-2.28E+31,-6.47E+31,3.67E+16,0,-9.13E+31,-6.72E+31,-3.30E+31,-4.82E+31,-1.32E+32,-9.25E+31,-4.69E+31,9.77E+16,-3.93E+31,-8.87E+30,6.16E+16,3.83E+16,-4.69E+31,-1.05E+32,-1.06E+32,-5.45E+31,-5.20E+31,-1.29E+32,-2.16E+31,2.11E+17,1.91E+17,5.22E+16,5.75E+16,-9.89E+31,-9.00E+31,3.51E+17,-3.80E+31,2.39E+17,-5.07E+31,-5.07E+30,0,-2.41E+31,2.08E+17,-5.70E+31,-1.77E+31,-1.22E+32,-1.14E+31,7.93E+16,-2.66E+31,-9.76E+31,-1.39E+31,-7.48E+31
-1.01E+33,9.77E+16,-4.69E+31,-5.07E+30,-1.76E+32,-3.42E+31,-6.34E+30,0,1.40E+17,1.29E+17,2.16E+16,-4.56E+31,-1.65E+31,-3.80E+30,2.97E+17,-6.72E+31,1.31E+17,-4.56E+31,-1.27E+31,-1.77E+31,-2.79E+31,7.40E+17,-6.34E+31,-5.83E+31,-1.90E+31,-5.70E+31,-2.03E+31,-1.06E+32,-1.04E+32,-1.01E+31,-1.52E+31,2.91E+17,-6.47E+31,-8.62E+31,3.21E+17,-1.03E+32,-1.04E+32,-5.32E+31,-1.27E+30,9.53E+16,-1.14E+32,-1.27E+30,-3.19E+32,2.15E+17,-3.68E+31,-1.14E+31,-5.45E+31,-7.61E+30,-5.07E+30,-1.90E+31
-9.60E+32,-6.21E+31,1.57E+17,-4.18E+31,4.93E+17,-1.17E+32,2.30E+16,1.31E+16,-1.18E+32,-9.38E+31,-2.28E+31,-2.54E+30,-1.15E+32,-6.97E+31,-5.58E+31,-7.61E+30,-4.44E+31,1.24E+17,4.55E+16,-5.07E+30,1.49E+17,-1.45E+32,-2.41E+31,2.48E+17,1.43E+17,-1.90E+32,-5.32E+31,-1.01E+31,-1.39E+31,5.57E+16,5.64E+16,-1.55E+32,2.51E+17,-8.87E+30,-5.58E+31,1.60E+17,-1.27E+30,-2.41E+31,0,-3.93E+31,-1.39E+31,-5.45E+31,-9.63E+31,-1.36E+32,-2.79E+31,5.11E+16,1.80E+17,-9.25E+31,-2.54E+31,-1.14E+32
-9.39E+32,-2.79E+31,-7.10E+31,-2.79E+31,-2.33E+32,2.52E+17,-7.61E+30,-1.27E+30,-3.80E+30,1.20E+17,-1.27E+30,-6.59E+31,-4.94E+31,-4.06E+31,-3.80E+30,-4.44E+31,-6.34E+30,-6.21E+31,-1.77E+31,2.44E+16,-4.44E+31,-7.61E+30,-9.51E+31,-8.62E+31,-4.06E+31,-1.65E+31,1.47E+17,-1.12E+32,-7.99E+31,-1.27E+31,-1.39E+31,2.15E+17,-1.01E+32,-6.97E+31,3.96E+17,-9.38E+31,-1.42E+32,-1.14E+31,-2.54E+30,5.57E+16,-9.89E+31,-1.27E+31,-1.39E+32,-2.66E+31,1.63E+17,-1.39E+31,-7.61E+31,-4.18E+31,7.06E+16,2.46E+17
-1.01E+33,1.27E+17,9.73E+16,-2.54E+30,-1.52E+31,-1.53E+32,2.25E+16,-1.27E+30,-9.63E+31,-7.86E+31,5.14E+16,2.36E+17,-2.79E+31,-2.54E+30,-4.06E+31,-2.54E+31,-1.90E+31,6.73E+16,4.03E+16,-7.61E+30,1.46E+17,-1.56E+32,-1.27E+30,1.93E+17,6.96E+16,-2.03E+32,-7.35E+31,-4.18E+31,-3.55E+31,3.82E+16,-5.07E+30,-1.86E+32,1.89E+17,-3.42E+31,-7.10E+31,-2.79E+31,-1.01E+31,-4.18E+31,5.06761E+15,-4.94E+31,-4.31E+31,-2.28E+31,-2.12E+32,-5.58E+31,-5.32E+31,3.61E+16,-3.80E+30,-2.16E+31,-3.80E+31,-1.47E+32
-8.90E+32,-5.96E+31,-8.37E+31,-4.18E+31,-1.98E+32,-5.07E+30,-1.14E+31,1.30E+16,-2.16E+31,-2.16E+31,-2.54E+30,-8.62E+31,-9.13E+31,-6.21E+31,-2.41E+31,-1.14E+31,-2.03E+31,-8.87E+31,-1.65E+31,9.17E+16,-5.83E+31,-4.69E+31,-1.31E+32,-1.14E+32,-5.58E+31,-5.32E+31,1.25E+17,-5.96E+31,-2.41E+31,-1.65E+31,6.63E+16,-1.39E+31,-1.32E+32,-1.52E+31,-5.07E+30,-3.04E+31,-1.42E+32,1.83E+17,-3.80E+30,6.24E+16,-4.94E+31,-3.17E+31,-2.79E+31,-7.23E+31,1.71E+17,-1.65E+31,-9.13E+31,-6.59E+31,1.11E+17,-1.52E+31
-1.05E+33,1.11E+17,-2.54E+30,9.58E+16,-6.72E+31,-1.48E+32,-5.07E+30,-1.27E+30,2.38E+17,1.76E+17,3.48E+16,-6.34E+30,2.18E+17,2.00E+17,2.03E+17,-4.69E+31,-2.54E+30,-2.54E+30,-6.34E+30,-1.52E+31,1.49E+17,-7.35E+31,-8.87E+30,-1.27E+30,7.15E+16,-1.53E+32,-7.86E+31,-6.85E+31,-6.34E+31,-6.34E+30,-7.61E+30,-1.13E+32,-1.27E+30,-5.45E+31,-6.08E+31,-6.97E+31,-4.06E+31,-5.96E+31,-1.27E+30,-4.31E+31,-7.61E+31,-1.27E+30,-3.31E+32,2.25E+17,-6.47E+31,-5.07E+30,-2.28E+31,2.08E+17,-4.18E+31,-1.27E+32
